user_id,user_name,flagged,mean_proba,all,ratio,rank_flagged,rank_ratio,rank_proba,mean_rank,flagged_cum
22827097,PEJABAT KAMPUS LESTARI,1,0.71156406,1,1,56,1,205,87.33333333333333,1213
18508161,zxcqwe,2,0.7100097,2,1,55,1,207,87.66666666666667,1215
22870117,Brukwa!,10,0.7195144,20,0.5,47,37,187,90.33333333333333,1235
22066657,Imsamuel,3,0.7078974,3,1,54,1,216,90.33333333333333,1238
22777074,Copperhill,1,0.7083753,1,1,56,1,215,90.66666666666667,1239
22783875,Sanad Irshaid,1,0.7683857,6,0.16666666666666666,56,111,107,91.33333333333333,1245
22836553,ghorably1,1,0.7223874,2,0.5,56,37,181,91.33333333333333,1247
22856989,arjun07,1,0.7673118,6,0.16666666666666666,56,111,109,92,1253
22887343,Spanos,1,0.70364803,1,1,56,1,220,92.33333333333333,1254
22804470,NicolasGarcia7,1,0.7025509,1,1,56,1,221,92.66666666666667,1255
22684873,Vladislav Lysenko,3,0.71148485,4,0.75,54,18,206,92.66666666666667,1259
22891316,Raph745218735641268,1,0.7022214,1,1,56,1,222,93,1260
22826208,TaherRahim,1,0.70116043,1,1,56,1,223,93.33333333333333,1261
22849805,Abundus,4,0.70002204,4,1,53,1,227,93.66666666666667,1265
21213902,škoda109e,1,0.7194871,2,0.5,56,37,189,94,1267
22876964,esraaxx,1,0.7191222,2,0.5,56,37,190,94.33333333333333,1269
22783731,olbercik69,5,0.71823657,11,0.45454545454545453,52,41,192,95,1280
8289326,Jared Brand,1,0.71628547,2,0.5,56,37,195,96,1282
22890020,iamjaxonj,1,0.6980406,1,1,56,1,231,96,1283
22745671,Johnthorn,1,0.6978317,1,1,56,1,233,96.66666666666667,1284
22223328,astrower,1,0.76096094,6,0.16666666666666666,56,111,123,96.66666666666667,1290
22881372,Lowe_IDFG,1,0.6957712,1,1,56,1,235,97.33333333333333,1291
22882951,SmithysTrucking,1,0.7254014,3,0.3333333333333333,56,61,176,97.66666666666667,1294
22802521,Chinhr,1,0.6953901,1,1,56,1,236,97.66666666666667,1295
20480160,Osmcab,4,0.6922908,4,1,53,1,240,98,1299
22879548,lightitupelectric,1,0.6953882,1,1,56,1,237,98,1300
21343938,Gafaloop,1,0.6912302,1,1,56,1,241,99.33333333333333,1301
22856849,أبو جمانه,1,0.7302213,4,0.25,56,79,163,99.33333333333333,1305
22853651,artiiik,6,0.70031196,9,0.6666666666666666,51,23,226,100,1314
22579215,fhqi819hds91,2,0.69005096,2,1,55,1,244,100,1316
22361283,TransAct-AS,1,0.78536767,11,0.09090909090909091,56,156,90,100.66666666666667,1327
22825222,Alfred J,3,0.6893812,3,1,54,1,247,100.66666666666667,1330
22825008,cdmersey,2,0.68960035,2,1,55,1,246,100.66666666666667,1332
22782793,Roger Wernsing,1,0.6897043,1,1,56,1,245,100.66666666666667,1333
22885108,Laith Aldmour,1,0.687806,1,1,56,1,249,102,1334
22730461,noorankhan,1,0.70838255,2,0.5,56,37,214,102.33333333333333,1336
22827283,NAK-ISP,6,0.69919235,10,0.6,51,29,228,102.66666666666667,1346
22685336,abniang,1,0.79264516,14,0.07142857142857142,56,172,80,102.66666666666667,1360
22846030,Finsalsdallonsis,1,0.7074265,2,0.5,56,37,217,103.33333333333333,1362
22842210,annisaeo,1,0.68447924,1,1,56,1,254,103.66666666666667,1363
21998871,northgamoldremoval,1,0.6839527,1,1,56,1,255,104,1364
22823736,mbellacci,1,0.72503114,4,0.25,56,79,177,104,1368
22831919,Metai Avinash,1,0.6837005,1,1,56,1,257,104.66666666666667,1369
22804490,tariqfaouri,1,0.683433,1,1,56,1,258,105,1370
22804717,Cigua,1,0.7223659,4,0.25,56,79,182,105.66666666666667,1374
22841946,jadetds,1,0.71373314,3,0.3333333333333333,56,61,200,105.66666666666667,1377
22865159,Egglis,1,0.78484654,14,0.07142857142857142,56,172,91,106.33333333333333,1391
22866481,MVAC-AFP,1,0.6814177,1,1,56,1,263,106.66666666666667,1392
22820392,InitaNiedz,3,0.68090504,3,1,54,1,266,107,1395
22810344,mt47,1,0.68111664,1,1,56,1,264,107,1396
22573622,يزن هادي,1,0.68089074,1,1,56,1,267,108,1397
22859978,tomrg,1,0.69799894,2,0.5,56,37,232,108.33333333333333,1399
22809349,DimitrisPolitis,2,0.7093266,6,0.3333333333333333,55,61,209,108.33333333333333,1405
2972100,july7,1,0.68029916,1,1,56,1,268,108.33333333333333,1406
22824524,CANAV06,1,0.6789988,1,1,56,1,271,109.33333333333333,1407
22414893,Cuick Trac,4,0.6781051,4,1,53,1,274,109.33333333333333,1411
22837205,rlrainwater,1,0.6785756,1,1,56,1,273,110,1412
22804492,Cctln,4,0.6891055,7,0.5714285714285714,53,30,248,110.33333333333333,1419
22859034,PetitePENSION,1,0.7159776,4,0.25,56,79,196,110.33333333333333,1423
22844944,kemalakalin,1,0.6776531,1,1,56,1,275,110.66666666666667,1424
22812473,santosjd,1,0.73730755,7,0.14285714285714285,56,125,151,110.66666666666667,1431
22858447,HHancock,1,0.67726344,1,1,56,1,277,111.33333333333333,1432
18782854,Basya001,1,0.6769685,1,1,56,1,278,111.66666666666667,1433
22820969,ilovepikmin,1,0.7046281,3,0.3333333333333333,56,61,219,112,1436
22768486,stakar,1,0.76797396,14,0.07142857142857142,56,172,108,112,1450
22837804,Andres Valdes,1,0.67644477,1,1,56,1,281,112.66666666666667,1451
22788282,AymericPLA0910,1,0.6746833,1,1,56,1,284,113.66666666666667,1452
22841686,TylerD_,1,0.7195406,5,0.2,56,99,186,113.66666666666667,1457
22885005,Secret Trail^^,2,0.6740556,2,1,55,1,288,114.66666666666667,1459
22191037,ertyu78,3,0.6733618,3,1,54,1,289,114.66666666666667,1462
22871859,Gauhar93,1,0.6732339,1,1,56,1,290,115.66666666666667,1463
22785758,Satoshi Somos Todos,1,0.67039347,1,1,56,1,291,116,1464
22793291,Tgmbgr,1,0.7288744,7,0.14285714285714285,56,125,168,116.33333333333333,1471
22554219,Julia303030303,8,0.6788209,13,0.6153846153846154,49,28,272,116.33333333333333,1484
22702081,F1 Detils,8,0.7087046,36,0.2222222222222222,49,88,213,116.66666666666667,1520
22853939,JDelMonte,1,0.66976583,1,1,56,1,294,117,1521
22826196,exboyscout,2,0.6833168,4,0.5,55,37,259,117,1525
22820183,piotrek2302,1,0.7151628,5,0.2,56,99,197,117.33333333333333,1530
21847683,Accai,9,0.6742671,12,0.75,48,18,286,117.33333333333333,1542
22853958,H Wallace,1,0.7050176,4,0.25,56,79,218,117.66666666666667,1546
22784431,undertherock-dc,3,0.6753385,4,0.75,54,18,283,118.33333333333333,1550
22490454,Ayamohamedesri,1,0.6659853,1,1,56,1,300,119,1551
22154565,Eldanou29,1,0.7189351,6,0.16666666666666666,56,111,191,119.33333333333333,1557
22838500,Koruma Ahmet 2,4,0.6762373,6,0.6666666666666666,53,23,282,119.33333333333333,1563
22843830,Slvrbk87,1,0.66523856,1,1,56,1,303,120,1564
22812875,Zahra Mohamed,1,0.67958915,2,0.5,56,37,270,121,1566
22827932,habil_ibadoff,1,0.6982853,4,0.25,56,79,230,121.66666666666667,1570
22016434,KeeKeeCowis,1,0.70900506,5,0.2,56,99,210,121.66666666666667,1575
22850111,Acisculus,1,0.70897764,5,0.2,56,99,211,122,1580
22771251,Becky19,1,0.6621729,1,1,56,1,309,122,1581
22888632,clem34,1,0.6617164,1,1,56,1,310,122.33333333333333,1582
18878377,Cliffhanger35,1,0.74520373,14,0.07142857142857142,56,172,140,122.66666666666667,1596
21920445,Deniz Türkücü,1,0.6606455,1,1,56,1,311,122.66666666666667,1597
22792314,Tyler Neufeld,1,0.6850897,3,0.3333333333333333,56,61,252,123,1600
22835687,Lambda22,1,0.7940773,30,0.03333333333333333,56,241,77,124.66666666666667,1630
22823667,Kevski10009900,1,0.6553959,1,1,56,1,318,125,1631
22056074,ericfromson,3,0.68745464,11,0.2727272727272727,54,72,250,125.33333333333333,1642
22860053,d4vidstation,1,0.6549943,1,1,56,1,319,125.33333333333333,1643
22716760,MarlowWanderer,1,0.6547063,1,1,56,1,320,125.66666666666667,1644
22816066,CaptainJCF,1,0.6744615,2,0.5,56,37,285,126,1646
22889395,b🇮🇱,1,0.65416175,1,1,56,1,322,126.33333333333333,1647
22883431,asaf2lev,1,0.6541477,1,1,56,1,323,126.66666666666667,1648
12361874,Adam H (AU),1,0.67424417,2,0.5,56,37,287,126.66666666666667,1650
10809630,Janina Biemann,1,0.65281945,1,1,56,1,327,128,1651
11367883,Logan Nuernberger,1,0.67967635,3,0.3333333333333333,56,61,269,128.66666666666666,1654
21079407,Polinasvir4569,2,0.65119314,2,1,55,1,331,129,1656
22844931,Baran Gursu,1,0.66954035,2,0.5,56,37,295,129.33333333333334,1658
22838081,adam opira,1,0.69692963,5,0.2,56,99,234,129.66666666666666,1663
21687181,shivaask,1,0.65045995,1,1,56,1,332,129.66666666666666,1664
22793251,Mat0977B,1,0.7275117,12,0.08333333333333333,56,161,173,130,1676
22833304,sTommen,1,0.66815615,2,0.5,56,37,298,130.33333333333334,1678
22884547,Papajoes0711,1,0.6676982,2,0.5,56,37,299,130.66666666666666,1680
22886314,Jardel Ferreira,1,0.7004154,6,0.16666666666666666,56,111,225,130.66666666666666,1686
22817560,acyrmanj,1,0.69290316,5,0.2,56,99,239,131.33333333333334,1691
